utr,amount,credited_date
UTR542641960943,36465.04,2026-02-21
UTR732913403120,9775.97,2026-01-05
UTR748913461122,21211.71,2026-01-02
UTR369419548116,8337.44,2026-01-25
UTR921467220156,29312.38,2026-02-27
UTR902574067628,2897.73,2026-02-15
UTR178728590908,25793.47,2026-01-18
UTR388376437635,7153.59,2026-02-17
UTR342072931479,49866.82,2026-01-09
UTR908053162473,5304.26,2026-02-17
UTR683482989002,8040.15,2026-02-02
UTR405730753142,23238.88,2026-03-07
UTR754474071330,49806.84,2026-02-03
UTR895137224815,46788.61,2026-02-06
UTR424493543665,41504.35,2026-02-09
UTR508678332797,38173.04,2026-02-07
UTR112637644335,34050.8,2026-01-08
UTR818172762479,25061.72,2026-03-08
UTR598895488714,361.62,2026-02-16
UTR947087372942,14611.52,2026-01-06
UTR704971771246,5075.85,2026-02-14
UTR690383734374,6416.34,2026-03-01
UTR442364508902,20069.82,2026-02-12
UTR173812556182,29832.75,2026-02-13
UTR634321479802,24171.65,2026-02-25
UTR424493543665,41504.35,2026-02-09
UTR598895488714,361.62,2026-02-16
UTR202946055043,46333.08,2026-02-24
UTR596144210356,6226.01,2026-01-15
UTR939668623711,9096.86,2026-02-28
UTR811605418712,3755.84,2026-02-10
UTR454759765684,24532.56,2026-01-15
UTR566854953850,17144.48,2026-01-10
UTR542641960943,36465.04,2026-02-21
UTR223005401501,1445.54,2026-01-18
UTR655050052120,30180.53,2026-02-05
UTR877693993558,31628.93,2026-01-15
UTR942959595464,32119.9,2026-01-08
UTR804054194082,34428.17,2026-01-15
UTR481597082643,30265.56,2026-02-21
UTR929319141080,2546.4,2026-01-08
UTR960037124392,23754.05,2026-01-27
UTR713249868174,33161.19,2026-02-01
UTR821970820395,21666.35,2026-01-28
UTR173812556182,29832.75,2026-02-13
UTR947087372942,14611.52,2026-01-06
UTR277660601409,18599.62,2026-01-14
UTR393780765787,3496.19,2026-03-08
UTR429103158382,42115.13,2026-02-02
UTR337497551698,48437.74,2026-02-07
UTR962361016774,22822.63,2026-01-28
UTR744335435865,27785.29,2026-02-07
UTR968270511233,34087.96,2026-02-08
UTR871590378377,27338.09,2026-01-15
UTR680958994499,43647.17,2026-02-03
UTR908053162473,5304.26,2026-02-17
UTR237979090768,33055.59,2026-03-02
UTR635719463887,40837.96,2026-02-18
UTR211095701426,19130.29,2026-01-30
UTR161157982007,12195.41,2026-02-10
UTR280640463568,19072.86,2026-01-25
UTR161476464570,2697.09,2026-01-31
UTR472646369774,5290.07,2026-01-25
UTR311521368324,9672.4,2026-01-29
