txn_id,true_status
txn_d80395d925,matched
txn_aaf588b674,duplicate
txn_2657bad539,matched
txn_d30ddde32d,matched
txn_2ebafe459c,matched
txn_8d85c2a397,missing_in_bank
txn_fdcba98085,matched
txn_ef255b2112,matched
txn_c22c9e5d19,matched
txn_51469011b1,matched
txn_add9d151f2,duplicate
txn_7faefec76b,matched
txn_0b079060c7,duplicate
txn_69f6f26390,matched
txn_3b5513e76b,amount_mismatch
txn_20fde1c620,matched
txn_9c88ec9e72,matched
txn_d1a73425dc,amount_mismatch
txn_24df40f459,missing_in_bank
txn_1b497cd049,delayed
txn_b342066b58,delayed
txn_d07d72e522,matched
txn_d2e43a5589,matched
txn_520a8e0b37,matched
txn_db45de0ae4,matched
txn_512b7f6d9b,matched
txn_f83e09a4a4,matched
txn_b4cba6e947,amount_mismatch
txn_d5d2d5347b,matched
txn_a6b734408e,duplicate
txn_d8f6290809,matched
txn_b4c5923f33,matched
txn_8c255562de,delayed
txn_5e4dc5d1ea,delayed
txn_cdc7552be3,delayed
txn_cbaef721d8,matched
txn_6268faa888,matched
txn_b22abe6918,delayed
txn_b34b005c51,matched
txn_e3ce7e0137,matched
txn_cbd39ebb79,matched
txn_602829a55a,matched
txn_73e8bf78d8,amount_mismatch
txn_1502e9463b,matched
txn_67d633b297,matched
txn_2b11289778,matched
txn_f9e4fc7953,delayed
txn_7cec076077,duplicate
txn_90ccff6de4,matched
txn_da303dd744,delayed
txn_09815e74f7,delayed
txn_2bc642b8f6,matched
txn_39275e1341,matched
txn_6e3e48be6e,matched
txn_54c0844f70,amount_mismatch
txn_de984ea7aa,matched
txn_7487b0ee79,amount_mismatch
txn_80b888f2f7,matched
txn_2d5c5b9614,matched
txn_58b05d22bc,duplicate
