txn_id,utr,amount,settled_date,status
txn_d80395d925,UTR223005401501,1445.54,2026-01-18,settled
txn_aaf588b674,UTR908053162473,5304.26,2026-02-17,settled
txn_2657bad539,UTR748913461122,21211.71,2026-01-02,settled
txn_d30ddde32d,UTR655050052120,30180.53,2026-02-05,settled
txn_2ebafe459c,UTR871590378377,27338.09,2026-01-15,settled
txn_8d85c2a397,UTR990253050256,43491.16,2026-02-18,settled
txn_fdcba98085,UTR566854953850,17144.48,2026-01-10,settled
txn_ef255b2112,UTR472646369774,5290.07,2026-01-25,settled
txn_c22c9e5d19,UTR481597082643,30265.56,2026-02-21,settled
txn_51469011b1,UTR690383734374,6416.34,2026-03-01,settled
txn_add9d151f2,UTR424493543665,41504.35,2026-02-09,settled
txn_7faefec76b,UTR732913403120,9775.97,2026-01-05,settled
txn_0b079060c7,UTR947087372942,14611.52,2026-01-06,settled
txn_69f6f26390,UTR211095701426,19130.29,2026-01-30,settled
txn_3b5513e76b,UTR277660601409,18635.01,2026-01-14,settled
txn_20fde1c620,UTR811605418712,3755.84,2026-02-10,settled
txn_9c88ec9e72,UTR369419548116,8337.44,2026-01-25,settled
txn_d1a73425dc,UTR804054194082,34470.47,2026-01-15,settled
txn_24df40f459,UTR163462436409,11606.59,2026-01-03,settled
txn_1b497cd049,UTR393780765787,3496.19,2026-02-28,settled
txn_b342066b58,UTR818172762479,25061.72,2026-02-26,settled
txn_d07d72e522,UTR388376437635,7153.59,2026-02-17,settled
txn_d2e43a5589,UTR921467220156,29312.38,2026-02-27,settled
txn_520a8e0b37,UTR342072931479,49866.82,2026-01-09,settled
txn_db45de0ae4,UTR929319141080,2546.4,2026-01-08,settled
txn_512b7f6d9b,UTR968270511233,34087.96,2026-02-08,settled
txn_f83e09a4a4,UTR754474071330,49806.84,2026-02-03,settled
txn_b4cba6e947,UTR112637644335,34078.11,2026-01-08,settled
txn_d5d2d5347b,UTR942959595464,32119.9,2026-01-08,settled
txn_a6b734408e,UTR598895488714,361.62,2026-02-16,settled
txn_d8f6290809,UTR939668623711,9096.86,2026-02-28,settled
txn_b4c5923f33,UTR429103158382,42115.13,2026-02-02,settled
txn_8c255562de,UTR508678332797,38173.04,2026-02-04,settled
txn_5e4dc5d1ea,UTR454759765684,24532.56,2026-01-08,settled
txn_cdc7552be3,UTR161157982007,12195.41,2026-02-06,settled
txn_cbaef721d8,UTR635719463887,40837.96,2026-02-18,settled
txn_6268faa888,UTR237979090768,33055.59,2026-03-02,settled
txn_b22abe6918,UTR680958994499,43647.17,2026-01-28,settled
txn_b34b005c51,UTR442364508902,20069.82,2026-02-12,settled
txn_e3ce7e0137,UTR596144210356,6226.01,2026-01-15,settled
txn_cbd39ebb79,UTR744335435865,27785.29,2026-02-07,settled
txn_602829a55a,UTR877693993558,31628.93,2026-01-15,settled
txn_73e8bf78d8,UTR178728590908,25804.97,2026-01-18,settled
txn_1502e9463b,UTR895137224815,46788.61,2026-02-06,settled
txn_67d633b297,UTR960037124392,23754.05,2026-01-27,settled
txn_2b11289778,UTR821970820395,21666.35,2026-01-28,settled
txn_f9e4fc7953,UTR902574067628,2897.73,2026-02-11,settled
txn_7cec076077,UTR542641960943,36465.04,2026-02-21,settled
txn_90ccff6de4,UTR311521368324,9672.4,2026-01-29,settled
txn_da303dd744,UTR405730753142,23238.88,2026-02-25,settled
txn_09815e74f7,UTR704971771246,5075.85,2026-02-11,settled
txn_2bc642b8f6,UTR202946055043,46333.08,2026-02-24,settled
txn_39275e1341,UTR634321479802,24171.65,2026-02-25,settled
txn_6e3e48be6e,UTR280640463568,19072.86,2026-01-25,settled
txn_54c0844f70,UTR962361016774,22859.42,2026-01-28,settled
txn_de984ea7aa,UTR713249868174,33161.19,2026-02-01,settled
txn_7487b0ee79,UTR337497551698,48441.73,2026-02-07,settled
txn_80b888f2f7,UTR161476464570,2697.09,2026-01-31,settled
txn_2d5c5b9614,UTR683482989002,8040.15,2026-02-02,settled
txn_58b05d22bc,UTR173812556182,29832.75,2026-02-13,settled
